,name,areal,regions,pochvs,pharmacop,redbook,req,sowing,collect,him_sostav,med_list
26,Бриофиллум Перистый,"Родина  бриофиллума  перистого  – Мадагаскар,  Кения.   Натурализовался  в тропиках  многих  стран ЮгоВосточной и Южной Азии, Центральной и Южной Америки, Австралии, Океании, на Азорских и Канарских островах",,"красные, черные, высокопоясные",False,False,60 т.,сентябрь,октябрь,"В соке листьев и стеблей содерж атся флавоноиды (8,05  %): патулетин, кверцетин, кемпферол, кверцентин3арабинозид, кемпферол3гликозид, астрагалин, кверцитрин, кверцетин3βLарабинопиранозил2’βLрамнофуранозид (жеалин); конденсированные танины; сапонины; полисахариды (3540 %); органические кислоты (яблочная, лимонная, изолимонная, щавелевая, янтарная, фумаровая, молочная)","Препараты каланхоэ (сок каланхоэ в ампулах и флаконах, мазь каланхое) разрешены  для использования  в медицине  с 1970  г.  Их используют в хирургической, стоматологической, акушерскогинекологической, отоларингологической  и в офтальмологической практике"
27,Брусника Обыкновенная,"У брусники обширный голарктический ареал.  Произрастает она в лесной и тундровой зо нах России, доходя на севере до берегов Северного Ледовитого океана, широко распространена в европейской части России, в Сибири и на Дальнем Востоке (менее обильна в Приморье и на Южном Сахалине)","Камчатский край, Омская область, Приморский край, Саха (Якутия), Сахалинская область, Северная Осетия-Алания","тундровые, подзолистые, болотные, лесные, пустынные, высокопоясные",True,False,139 т.,апрель,сентябрь,"В листьях содержатся фенольные  соединения  (арбутин  (до 12,4 %), гидрохинон, эллаговая  кислота);  фенолкарбоновые  кислоты  (кофейная, nкумаровая, феруловая, хлорогеновая, изохлорогеновая, галловая кислоты); органические кислоты (винная, хинная  кислоты);  тритерпены  (урсоловая  кислота); флавоноиды (кемпферол, лютеолин, кверцитрин, авикулярин); дубильные вещества, витамин С","Отвар  листьев  брусники применяют  как мочегонное,  желчегонное,  антисептическое и вяжущее  средство  при заболеваниях  почек  и мочевого пузыря (при пиелитах, циститах, мочекаменной болезни),  гастроэнтеритах,  гнилостных  поносах,  метеоризме  и хронических  запорах.   Кроме  того,  листья  брусники применяют при заболеваниях, связанных с нарушением  минерального  обмена,  в частности  при подагре, остеохондрозе,  а также  при ревматоидных,  инфекционных неспецифических артритах"
28,Бузина Черная,"В России северная граница ареала бузины черной  проходит  от границы  с Беларусью  через  Брянск, охватывает центральночерноземные области России, включая Орловскую, Липецкую, Курскую и Воронежскую  области .  На востоке  граница  от Липецка  резко  поворачивает на юг к нижнему Дону; на Кавказе бузина встречается  во всех лесистых  горных  районах  Предкавказья","Брянская область, Воронежская область, Курская область, Липецкая область, Орловская область, Северная Осетия-Алания","каштановые, красные, высокопоясные",True,False,1 т.,июнь,сентябрь,"В цветках  содержатся  аскорбиновая кислота (до 82 мг%); гликози д самбунигрин (расщепляющийся на синильную кислоту, бензальдегид и глюкозу);  флавоноиды  (рутин  (1,9 %), гиперозид, изокверцитрин,  кверцитрин,  кверцетин),  эфирное  масло (до 32 %); холин;  фенолкарбоновые  кислоты  (хлорогеновая,  кофейная);  органические  кислоты  (валериановая, яблочная, уксусная кислоты)","Лекарственные формы бузины  (настой  и отвар)  применяют  в качестве  потогонного средства при простудных заболеваниях, гриппе, ангине,  хронических  бронхитах,  бронхоэктазах.   Цветки и плоды бузины, реже – кора, молодые ветви и листья, входят в состав многих сборов для лечения патологий гепатобилиарной системы"
29,Валериана Лекарственная,"Валериана  лекарственная  (включая  «мелкие виды») распространена почти на всей территории России.  Исключение составляют большая часть Карелии, самые засушливые области европейской части страны, ЗападноСибирская равнина, западная часть Среднесибирского плоскогорья, Чукотка, север Якутии","Карелия, Северная Осетия-Алания, Чукотский автономный округ","дерновые, болотные, лесные, черноземы, луговые, черные, засоленные, высокопоясные",True,False,300 т.,май,ноябрь,"В подземной  части  (корневищах с корнями) содержится эфирное масло (0,22,8 %), в составе которого идентифицированы: борнеол и его эфиры с муравьиновой, уксусной, масляной, изоватериановой  кислотами,  терпинеол,  миртенол,  камфен,  пинен, валериановая, изовалериановая, ва лереновая, изовалереновая  и ацетоксивалереновая  кислоты,  валеранон и криптофавронол, валерол, кессил3ацетат, валерацетат, анисмол  А, ориенталол  C, спатуленол,  4α10αэпоксиаромадендран, гидроксипиноресинол, пиноресинол, волвалереналы AG, вольвалере нон А, вольваренические кислоты АD, валеномерины АD, волвалерелактоны,  валепотриаты  (0,59,0 %): основными  диеновыми валепотриатами  являются  вальтрат,  изовальтрат,  7десизовалероил7ацетилвальтрат  и 7гомовальтрат,  ацетоксивалепотриат,  волвалтраты  AD, моноеновымидидровальтрат и изовалероксигидроксидидровальтрат ; алкалоиды (0,010,05 %): актинидин, чатинин, валерианин, валерин,  альфаметилпиррилкетон  и нафтиридинметилкетон,  скьянтин  ; фенолкарбоновые  кислоты  (пкумаровая, кофейная  кислоты);  органические  кислоты  (щавелевая (3,2 %), лимонная  (2,4 %), яблочная   (2,8 %), аскорбиновая (5,2 %), фумаровая (1,8 %), уксусная (1,5 %), масляная);  дубильные  вещества;  лигнаны  (гидроксипинорезинол, (+)8гидроксипинорезинол, пинореспиол, пинорезинол 4OβDглюкопиранозид и 8гидроксипинорезинол 4’OβDглюкопиранозид, пинорезинол4ОDглюкозид,  8ʹгидроксипинорезинол,  массонирезинол4ʹOβDглюкозид,  берхемол4ʹODглюкозид, 8ʹгидроксипинорезинол4ʹODглюкозид  и 8гидроксипинорезинол4ʹODглюкозид); флавоноиды (акацетин, апигенин, диосметин, лютеолин, кверцетин, кемпферол, линарин и лютеолин, макрои микроэлементы (К, Fe, Mg, Na, P)","Настои,  настойки,  густой экстракт из корней и корневищ валерианы лекарственной применяют в качестве седативного средства при нервном возбуждении, неврозах сердечнососуди стой системы,  спазмах  органов  желудочнокишечного  тракт.   Валериана входит в состав успокоительных сборов, камфорновалериановых и ландышевовалериановых капель, а также в состав многокомпонентных препаратов: Персен, НовоПассит, Кардиовален, Валидол,  Валокордин, Корвалол,  Валосердин, Капли Зеленина  и др"
30,Василек Благословенный,"Растение имеет средиземноморский иранотуранскопонтийский ареал.  В диком виде изредка встречается  в Средней  Азии,  на Кавказе  и в Закавказье",,"черноземы, пустынные",True,False,5 т.,июль,октябрь,"В надземной  части  растения (траве) содержатся сесквитерпеноиды (кницин, бенедиктин,  салонитенолид);  тритерпеноиды  (αамирин,  αамиренон, ол еаноловую кислоту, мультифлоренол); стерины (стигмастерин, 3βDглюкозид ситостерина): полиацетиленовые соединения; фенолкарбоновые кислоты (феруловая и др","В Болгарии из травы волчеца  выпускают  препарат  Сиднофарм  (Молсидомин) (таблетки)  вазодилатирующего  действия.   Он оказывает венодилатирующее, антиагрегантное, анальгезирующее и антиангинальное действие"
31,Василек Посевной,Василек посевной (синий) — европейский вид.  Как сорняк проникает в некоторые район ы Азии,"Волгоградская область, Краснодарский край, Мурманская область, Северная Осетия-Алания, Ставропольский край",,True,False,,июнь,июль,"В траве  (надземной  части) содержатся  флавоноиды  (апигенин,  апигенин4’O(6Oмалонилглюкозид)7Oглюкуронид, апигенин4Oглюкозид,  апигенин7Oглюкозид (космосиин), апигенин7Оапиоглюкозид (апиин), кверцетин,   кверцимеритрин,   рутин,   изорамнетин  и изорамнетин7Оглюкозид, нарингенин, нарингенин7Оглюкорамнозид, кемпферол, гиспидулин, лютеолин, генкванин, метилапигенин, метилвитексин); полиацетиленовые соединения (полиины и полиены); фенолкарбоновые кислоты (кофейная, хлорогеновая,  ои пгидроксифенилуксусная  кислота,  пгидроксибензойная  и пкумаровая  кислоты,  синаповая,  протокатехиновая, ванилиновая, сиринговая, феруловая, салициловая и бензойная кислоты); полисахариды","Настои из цветков василька применяют в комплексной терапии при хронических воспалительных заболеваниях почек и мочевыводящих путей.  Цветки васильков входят в состав мочегонных сборов, используемых при мочекаменной болезни, пиелитах, циститах, уретр итах, неврозах  и желудочнокишечных заболеваниях"
32,Вахта Трехлистная,"Вахта имеет голарктический тип ареала.   В России это растение произрастает на всей европейской  части,  за исключ ением  ее южных  районов,  и почти  на всей территории азиатской части, кроме Крайнего Севера","Саратовская область, Северная Осетия-Алания","болотные, черноземы, луговые, красные, высокопоясные",True,False,450 т.,июнь,июль,"В листьях содержатся иридоидные соединения (до 10 %): ди гидрофолиаментин, секологаниновая,  логанин,  логаниновая  кислоты,  сверозид, ментиафолин,  фолиаментин,  гликозиды  мениантин и мелиатин; жирное масло в составе которого идентифицированы  олеаноловая,  пальмитиновая,  линолевая и другие высшие жирные кислоты; алкалоид генцианин; холин;  йод и другие  микроэлементы;  аскорбиновая кислота; лигнаны; фенолкарбоновые кислоты (хлорогеновая, эллаговая, синаповая сиринговая и кофейная); кумарины  (скопарон,  скополетин);  флавоноиды  (рутин, гиперицин, трифолиозид); сахар а","Галеновые препараты вахты трехлистной применяют в качестве средства, возбуждающего  аппетит  и способствующего  усилению желудочнокишечной  секреции.   Их используют  при гастритах  с пониженной  кислотностью,  при запорах  и метеоризме, а также в качестве желчегонного средства"
33,Вербена Лекарственная,"Произрастает  в Калининградской  области, ВерхнеДнепровском, ЛадожскоИльменском, ВолжскоДонском, НижнеДонском ботаникогеографических районах  России.   Также  встречается  по всему  СевероЗападному  Кавказу","Калининградская область, Северная Осетия-Алания",,False,False,,март,сентябрь,"В траве  содержатся  флавоноиды (лютеолин,  кверцетин,  кемпферол,  апигенин,  мирицитрин, кверцитрин, 4’гидроксивогонин, 4’метиловый эфир  скуталлярина,  7глюкозид,  артеметин,  сорбифолин, непетин, педалитин, 7ОβDглюкуронид и 7О[βDглюкуронозил(1→2)βDглюкуронид] лютеолина, педалитин, 6глюкозид педалитина, 7галактозид, 7глюкуронид и 7ОβDбиглюкуронид апигенина); иридоиды (дигидрокорнин, генциопикрозид, 9гидроксисемперо зид, аукубин, эукозид,  3’,6’диацетил4’{[3(1βDглюкопиранозилокси)] бензоил}  сверозид  (вербенозид  А), 2’ацетил6’{[3(2гидрокси3(1βDглюкопиранозилокси)]бензоил}сверозид (вербенозид  В), гастатозид,  вербеналин,  3,4дигидровербеналин); моно, трии сесквитерпеноиды (лупеол, урсуловая  кислота,  артеметин,  лимонел,  линалоол,  вербенон, 1,8цинеол,  arкуркумен,  оксид  кариофиллена,  спатуленол); фенолкабоновые  кислоты  и их производные  (вербаскозид, изовербазозид,  1,5Одикаффеоилхиновая  кислота, 4,5Одикаффеоилхиновая  кислота);  стероиды  (βситостерин, Dглюкозид  βситостерина  (даукостерин),  7α,22Sдигидрокситостерин); алифатические спирты (3гексен1ол, 1октен3ол); высшие жирные кислоты и их производных (метилгексадеканоат,  этилгексадеканоат)","В медицине настой травы вербены  лекарственной  применяют  при легких  желудочных заболеваниях и отсутствии аппетита.  Гораздо шире ее применение  в гомеопатии:  гомеопатический  препарат Verbena используют  при бессоннице,  нервном  расстройстве,  камнях в почках и желчном пузыре"
34,Вздутоплодник Сибирский,"вздутоплодника  сибирского  состоит из четырёх фрагментов: среднесибирского (югозапад Красноярского края и север Хакасии), байкальского (восточная половина Иркутской области, Бурятия, югозапад Якутии по Лене и Алдану), даурского (юговосток Забайкальского края) и амурского (запад Амурской области).   ","Амурская область, Бурятия, Забайкальский край, Иркутская область, Красноярский край, Северная Осетия-Алания, Хакасия",каштановые,False,False,50 т.,,,"В корневищах  и корнях  (подземной  части)  содержатся  кумарины,  преимущественно производные кел лактона:и (9,10дигидро9,10дигидрокси8,8диметил2H,8Hбензо(1,2b:3,4b’) дипиран2он)","Лекарственный препарат Фловерин (таблетки), представляющий смесь дигидросамидина и висн адина из вздутоплодника сибирского,  разрешен  в медицинской  практике  в качестве спазмолитического средства для лечения болезни Рейно, при спазмах  периферических  сосудов,  спастических и легких  формах  облитерирующего  эндартериита,  а также при легких фор мах хронической коронарной недостаточности.   Комбинированный лекарственный препарат Сафинор (таблетки по 0,5 г)"
35,Виноград Культурный,Дикорастущий виноград ( Vitis sylvestris C. C,"Дагестан, Крым, Северная Осетия-Алания","красные, высокопоясные",True,True,87 т.,июнь,октябрь,"В плодах  содержатся  1033 % сахаров (глюкоза, фруктоза); фенольные соединения, кислоты (яблочная, лимонная, янтарная, салициловая, кремниевая, фосфорная, виннока менная, муравьиная); пектиновые вещества; дубильные вещества; макрои микроэлементы (К, Mg, Са, Мn, Со, Fe); витамины (В1, В2, ВЗ, В12, А, С, Р, РР, К, фолиевая кислота); ферменты;  антоцианидины  (цианидин,  пеонидин,  дельфинидин, петунидин и мальвидинв основном в виде 3Oглюкозидов,  а также  в форме  ацетил, пкумарил и кафеоил – эфиров)","В ФГБНУ ВИЛАР на основе  винограда  листьев  красных  экстракта  сухого  создано лекарственное средство для профилактики и лечения хронической венозной недостаточности в виде готовых  лекарственных  форм  – капсул  0,180  г для приема внутрь  и лечебного  крема  3 % для местного  применения.   Венотоник Антистакс (Швейцария) в виде капсул и геля, в состав которых входит оригинальный стандартизированный  экстракт  красных  листьев  винограда, укрепляет  и защищает  стенки  вен изнутри,  способствуя улучшению  кровообращения  и уменьшению  отечности; снима ет боль, тяжесть и усталость в ногах"
36,Водосбор Обыкновенный,"Встречается по всей европейской части России, включая Крым, кроме северных и восточных районов.  Культивируется во всех регионах России  как декоративное растение","Крым, Северная Осетия-Алания",,False,False,20 т.,,,"В надземной  части  растения (траве) содержатся цианогенные соединения; дубильные вещества; антоцианы; производные циклоартана; флавоноиды (изоцитозид7Оглюкозид, изоориентин, ориентин, изовитексин 4’Оглюкозид, апигенин,  апигенин7Орутинозид, апигени н7Оглюкозид,); фенолкарбоновые кислоты (кофейная, феруловая, пкумаровая, резорциловая, пгидроксибензойная, хлорогеновая); алкалоиды",Из травы и цветков водосбора изготавливают настои и сок из свежего растения.  Теплый настой травы используют для полоскания рта при стоматитах и гингвитах
37,Володушка Золотистая,"На территории России володушка золотистая растет в Европейской части страны (преимущественно  северные  районы  Нечерноземья,  Поволжье), на Урале, в Западной и Восточной Сибири.  Володушка золотистая (указанная как подвид володушки длиннолистной B",Северная Осетия-Алания,"лесные, черноземы, луговые, красные, высокопоясные",False,False,45 т.,август,август,"В траве содержатся флавоноиды 2,5 % (лютеолин 0,1±0,01 мг/г, кверцетин 3,6±0,30  мг/г,  кемпферол  0,3±0,03  мг/г,  изорамнетин 2,1±0,10 мг/г, рутин  2,1±0,10 мг/г, гиперозид 1,6±0,05 мг/г, астрагалин 0,1±0,01 мг/г), фенолкарбоновые кислоты (хлор огеновая 148,4 мг%, феруловая 130 мг%","Разработана методика получения  на основе  володушки  золотистой  растительного  лекарственного  средства,  рекомендованного для профилак тического  применения  при глазных кровоизлияниях, отеках сосудистого происхождения, нефритах,  ожогах  и т. д"
38,Гармала Обыкновенная,"Гармала имеет древнесредиземноморский тип ареала.  Широко распространена во всех среднеазиатских  государствах  СНГ,  Центральной  Азии и в Южном Казахстане","Воронежская область, Самарская область, Северная Осетия-Алания","пустынные, засоленные",True,False,,,,"В надземной части ( траве ) содержатся тритерпеноиды (лупеол, метиловый эфир 27гидроксилуп20(29)ен27О(3,4диметоксициннамоил)28овой кислоты); стероиды (βситостерин); каротиноиды (αкаротин, βкаротин); флавоноиды (цитизозид2»’Орамнозил2»Oглюкозид, акацетин7O(2’»Oрамнозил2»Oглюкозил) глюкозид, акацетин7O[6»Oглюкозил2»O(3’»ацетилрамнозил)] глюкозид,акацетин7О(2»›ОαLрамнозил2»’0βDглюкозил2»βDгаюкозил) глюкозид, акацетин7Орамнозид, кве рцетин, кемпферол, пеганетин); антрахиноны (βDглюкозид 8гидрокси7метокси2метилантрахинона, пеганон 1 и 2); алкалоиды (до 3 %): ()вазицинон, N,N[(3гидрокси5метил)фенил] оксамид, Nоксид вазицинона, Nоксид дезоксивазицинона, Nоксид дезок сипеганина, Nоксид пеганина,  γгармин, вазикол, вазицинон, гармаланин, гармалацидин, гармалидин, гармалин, гармалицин, гармалол, гармин, дезоксивазицинон, дезоксипеганидин, дезоксипеганин, дигидрат гидрохлорида пеганина, дипегин, дипегинол, изогармин,  изопеганидин, оксодезоксипеганин, оксопеганин, пегамин, пеганидин, пеганин (до 1,9 %), пеганол, хинальдин, хинолин; жирные кислоты (линолевая кислота); сапонины; органические кислоты (до 5,7 %); дубильные вещества (до 18 %)","В медицине используется трава гармалы обыкновенной.  Ранее из хинозалиновых алкалоидов гармалы обыкновенной изготавливали «Пеганина гидрохлорид» и «Дезоксипеганина гидрохлорид»препараты, которые обладают обратимым антихолинэстеразным действием"
39,Горец Змеиный,Горец змеиный — евроазиатский бореальный вид с обширным ареалом.  Произрастает от Крайнего Севера до степной зоны,"Коми, Оренбургская область, Северная Осетия-Алания, Челябинская область","арктические, тундровые, болотные, луговые",True,False,,апрель,октябрь,"В подземной части (корневищах) содержатся фенольные соединения (галловая, протокатеховая, пгидроксибензойная, хлорогеновая, ванилиновая, сиреневая кислоты, катехол, 4метилкатехол, сирингол, пирогаллол, бистортазид  A ((3метилгалловая кислота4OбетаD(6’)O3’’метилгаллоил)глюкопиранозид),   кверцетин3’OбетаDглюко140  пиранозид);  жирные кислоты (линолевая, миристиновая, пальмитиновая кислоты); стероиды (24(E)этилиденциклоартанон,  24(E)этилиденциклоартан3альфаол, циклоартан3,24дион,  24метиленциклоартанон,  γситостерол, βситостерол, βситостерон, фриделин,  3βфриделинол, 5глютинен3он, фриделанол, арборинон, арборинол, изоарборинол, 6,7метилендиоксикумарин, 6гидроксистигмаст4ен3он)","Отвар из корней горца змеиного применяют при острых и хронических заболевания х кишечника, сопровождающихся поносами недизентерийного происхождения, при маточных, кишечных и других внутренних кровотечениях, воспалениях  желчного  и мочевого  пузырей,  простатите.   Кроме того, экстракт жидкий и порошок горца змеиного используют при воспалительных заболеваниях полости рта и горла в виде полосканий, а также для промывания ран и язв"
40,Горец Перечный,"Горец перечный — голарктический вид, широко рас пространен почти во всей европейской части России  (за исключением  Крайнего  Севера),  на Кавказе, в Западной и Восточной Сибири, в южных районах Дальнего Востока.  В Якутии, на Камчатке и на Охотском  побережье  отсутствует","Архангельская область, Астраханская область, Волгоградская область, Камчатский край, Карелия, Красноярский край, Ростовская область, Саха (Якутия), Сахалинская область, Северная Осетия-Алания, Челябинская область","полупустынные, красные, высокопоясные",True,False,6 т.,,,"В надземной части (траве) содержатся флавоноиды (апигенин7Oглюкозид, гиперин, изокверцитрин, изорамнетин, кемпферол, кверцетин,  кверцитрин,  рамназин,  рутин);  катехины  ((+)катехин, ()эпикатехин); фенолкарбоновые кислоты (кофейная, хлорогеновая, пкумаровая кислоты); сложные эфиры фенилпропаноидов, включая гидропиперозиды  A и B и ваникозиды  A, B  и E; сесквитерпены (3βангелелилокси7эпифутронолид, 7кетоизодрименин, дендокарбин L, (+)фугин, футронолид, полигонумат, (+)зимерин, конфертифолин ); сесквитерпеновые диальдегиды дриманового типа (полигодиал, варбурганал); витамин К 1","Настой травы горца перечного применяют при маточных послеродовых кровотечениях,  после абортов,  во время  обильных и болезненных менструаций, воспалительных процессов и гормональных дисфункций, а также при кровохарканьях, кровотечениях из мелких сосудов мочевого пузыря, желудка, кишечника, при геморроидальных кровотечениях.   Кроме  того,  его применяют  при затрудненном мочеиспускании, сыпях и ушибах, при язве желудка"
41,Горец Почечуйный,P.  maculosa  имеет  дизъюнктивный  евроазиатский  ареал,"Алтай, Архангельская область, Волгоградская область, Камчатский край, Красноярский край, Новосибирская область, Приморский край, Саха (Якутия), Сахалинская область, Северная Осетия-Алания",высокопоясные,True,False,3 т.,,,"В надземной части (траве) содержатся  флавоноиды  (до 5,04 %): 3Oсенециоилизорамнетин, 3Oангелоилизорамнетин, 5,3’,4’,5’тетраметокси6,7метилендиоксифлавон, 3,5,3’,4’,5’пентаметокси6,7метилендиоксифлавон,  4изокверцитрин, пиностробин, персикохалкон, Ои Сгликозиды кемпферола, кверцетина, апигенина, лютеолина изофлавон; спирты  (эритритол,  глицерин,  ксилит);  сахара  (Dфруктоза, Dфруктопироноза, галактопироноза, сахароза); вещества антоциановой природы; фенолкарбоновые кислоты  (галловая  кислота,  2фуранкарбоновая  (пирослизевая) кислота), азотистые соединения (риботимидин); стероиды (фитостерол); жирные  кислоты (пальмитиновая, стеариновая кислоты);  дубильные вещества; витамин С","В медицине  используют траву горца почечуйного ( Herba Polygonii persicariae ).  Ранее настои и жидкий экстракт травы горца почечуйного в медицинской практике применяли при хронических атонических и спастических запорах (как мягкое слабительное), геморрое,  трещинах прямой кишки  с частыми геморроидальными кровотечениями; при маточных кровотечениях на почве гормональных дисфункций,  атонии  матки,  воспалительных  процессах  и фиброматозе  матки,  альгодисменорее,  обильных  менструациях;  при болезнях  почек  и моче каменной  болезни (как диуретическое)"
42,Горец Птичий,Растение широко распространено по всему миру.  P,"Камчатский край, Саха (Якутия), Сахалинская область, Северная Осетия-Алания, Чукотский автономный округ","лесные, засоленные, высокопоясные",True,False,5 т.,,,"В надземной части (траве) содержатся флавоноиды (до 12,7 %): ликвиритин, авикулярин,  цинарозид,  мирицетин,  кемпферол,  изорамнетин, кемпферол,  лютеолин,  апигенин, ликвиритигенин и их производные,  в т","В медицине используют высушенную  и измельченную  траву  (Herba  Polygoni avicularis ), из которой готовят настои.  Их применяют при хронических заболеваниях мочевыводя щих путей, ослаблении фильтрационной функции почечных клубочков  и появлении  в моче  большого  количества  минеральных солей, особенно солей щавелевой кислоты"
43,Горечавка Жёлтая,"Горечавка желтая – редкое растение с европейским типом ареала.  Распространена в горах Западной и Средней Европы, на Балканах, в Малой Азии и в Карпатах; включена в Красную книгу Украины",,,True,False,,сентябрь,октябрь,"В подземной  части  (корнях) и надземной части (траве) растения содержатся монотерпеновые гликозиды – горечи (генциопикрин, амарогенцин, генциин, гентизин, генциамарин, генциакаумол,  генцианоза);  флавоноиды;  алкалоиды  (генцианин); иридоиды (логановая кислота); секоиридоиды (свертимарин, гентиопиксид, амарогентин, сверозид); ксантоны (гентизин, изогентизин); катехины; полисахариды; пектиновые  вещества;  витамин  С; жирное  масло  (около 6 %), эфирное масло; дубильные вещ ества; слизи; смолы","В медицине используют корневища  и корни.   Отвар  корней  горечавки  желтой рекомендуют при гипоацидном гастрите, язве желудка и двенадцатиперстной кишки с пониженной секреторной активностью, ахи лии, диспепсии, анорексии, дисбактериозе , холецистите,  дискинезии  желчевыводящих  путей по гипокинетическому типу, глистной инвазии (аскаридоз, энтеробиоз)"
44,Горицвет Весенний,"Горицвет весенний – евроазиатский лесостепной  вид; его ареал  охватывает  территорию  от Пиренейского  полуострова  на западе  до бассейна  р.  Лена  возле Олёкминска (Якутия) на востоке, и от о","Воронежская область, Московская область, Нижегородская область, Оренбургская область, Пермский край, Ростовская область, Рязанская область, Самарская область, Саратовская область, Свердловская область, Северная Осетия-Алания, Татарстан, Тюменская область","черноземы, луговые, сероземы, засоленные",True,False,300 т.,,,"Все органы растения содержат сердечные гликозиды (0,130,80 %): производные строфантидина и адонитоксигенина (цимарин, Кстрофантидинβ, адонитоксин, Кстрофантозид, ацетиладонитоксин, адонитаксол, строфаногенин, вернадигин)","Препараты травы горицвета применяют в качестве средств, регулирующих и стимулирующих  работу  сердца,  оказывающих  при этом выраженное  мочегонное  действие.   Препараты  из травы горицвета  широко  применяют  при лечении  сердечнососудисто й недостаточности,  а также  как успокаивающие и противосудорожные средства"
45,Горчица Сарептская,"В естественных условиях горчица сарептская распространена  главным  образом  в степной  и пустынной зонах  Евразии.   В степных  и лесостепных  районах  европейской  части  РФ и в южных  районах  Западной  и Восточной Сибири  она отмечена  в посевах,  у дорог,  вблизи  жилья","Саратовская область, Северная Осетия-Алания","черноземы, высокопоясные",True,False,60 т.,,,В семенах содержатся глюкозинолаты (тиогликозиды),"Для изготовления  горчичников  и получения  эфирного  горчичного  масла  используют обезжиренный  жмых,  остающийся  после  отжимания жирного масла из семян горчицы сарептской.  Горчичники или растирания  эфирным  горчичным  маслом  используют как местнораздражающее и отвлекающее средство при простудных  заболеваниях,  бронхите,  плеврите,  бронхопневмонии,  ревматизме,  радикулите,  миозите,  невр итах"
